playerId,name,season,team,position,games_played,icetime,shifts,gameScore,onIce_corsiPercentage,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_shotAttempts,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,shotsBlockedByPlayer,FiveOnFourPts,FourOnFivePts,YF_Goal,YF_Assist,YF_Shot,YF_Hit,YF_Block,YF_FiveOnFour,YF_FourOnFive,YF_Pts,FiveOnFourIcetime,FourOnFiveIcetime
8482665,Matty Beniers,2022,SEA,C,80.0,82042.0,1659.0,60.54,0.55,18.0,15.0,148.0,70.0,270.0,24.0,8.0,5.0,79.0,55.0,48.0,141.0,58.0,19.0,10.0,8.0,6.0,48.0,10.0,1.0,72.0,66.0,59,32,19,4,0,252.0,10596.0,1468.0
8475200,Dmitry Orlov,2022,BOS,D,66.0,89280.0,1690.0,44.3,0.51,13.0,16.0,124.0,38.0,238.0,7.0,14.0,1.0,137.0,30.0,49.0,140.0,21.0,1.0,5.0,2.0,0.0,85.0,7.0,0.0,21.0,58.0,50,55,34,3,0,221.0,5618.0,7481.0
8481598,Philip Broberg,2022,EDM,D,46.0,34786.0,782.0,16.65,0.54,2.0,5.0,32.0,11.0,72.0,1.0,3.0,1.0,28.0,12.0,26.0,39.0,1.0,3.0,0.0,0.0,1.0,35.0,0.0,0.0,3.0,14.0,13,11,14,0,0,55.0,329.0,2727.0
8476897,Oskar Sundqvist,2022,MIN,C,67.0,55738.0,1177.0,19.38,0.5,8.0,10.0,69.0,28.0,125.0,10.0,7.0,3.0,63.0,17.0,20.0,54.0,27.0,16.0,1.0,5.0,4.0,28.0,8.0,0.0,30.0,36.0,28,25,11,3,0,133.0,7559.0,2858.0
8479325,Charlie McAvoy,2022,BOS,D,67.0,89658.0,1850.0,57.73,0.55,20.0,25.0,105.0,38.0,225.0,7.0,6.0,1.0,84.0,26.0,45.0,127.0,10.0,6.0,3.0,1.0,3.0,131.0,18.0,0.0,21.0,90.0,42,34,52,7,0,246.0,10204.0,7896.0
8481560,Arthur Kaliyev,2022,LAK,R,56.0,39237.0,890.0,32.1,0.59,8.0,7.0,122.0,47.0,227.0,13.0,14.0,2.0,40.0,8.0,14.0,112.0,43.0,14.0,2.0,6.0,5.0,10.0,12.0,0.0,39.0,30.0,49,16,4,5,0,143.0,7006.0,17.0
8478020,Michael Amadio,2022,VGK,R,67.0,49094.0,1022.0,28.57,0.52,8.0,3.0,99.0,28.0,150.0,16.0,13.0,2.0,56.0,36.0,13.0,81.0,37.0,9.0,7.0,5.0,4.0,27.0,2.0,0.0,48.0,22.0,40,22,11,1,0,144.0,2300.0,0.0
8482624,Daniil Miromanov,2022,VGK,D,14.0,14309.0,307.0,5.3,0.54,4.0,0.0,22.0,6.0,47.0,2.0,4.0,0.0,7.0,1.0,6.0,25.0,3.0,0.0,2.0,0.0,0.0,13.0,3.0,0.0,6.0,8.0,9,3,5,1,0,32.0,1054.0,66.0
8480049,Dylan Samberg,2022,WPG,D,63.0,56420.0,1260.0,19.83,0.48,2.0,4.0,49.0,19.0,117.0,2.0,6.0,0.0,91.0,20.0,39.0,66.0,2.0,0.0,2.0,0.0,0.0,93.0,0.0,1.0,6.0,12.0,20,36,37,0,0,111.0,205.0,7128.0
8475178,Zack Kassian,2022,ARI,R,51.0,28020.0,704.0,-8.99,0.39,0.0,0.0,25.0,9.0,45.0,2.0,3.0,1.0,32.0,9.0,19.0,17.0,13.0,4.0,1.0,0.0,1.0,8.0,0.0,0.0,6.0,0.0,10,13,3,0,0,32.0,1.0,60.0
8474716,Jared Spurgeon,2022,MIN,D,79.0,103389.0,2019.0,47.53,0.47,11.0,12.0,149.0,63.0,290.0,11.0,10.0,1.0,66.0,15.0,20.0,188.0,21.0,3.0,4.0,5.0,2.0,179.0,4.0,1.0,33.0,46.0,60,26,72,2,0,239.0,5651.0,13636.0
